Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
HICHAM,NFUWA-001-0B2AD487A619F779D25CA1FA2B424AFE442A74BA25F2EC09585CC837A1C1379465AEC4F4A43F1EBC5AA9BEBC1D4E6F1CC8D151268EA0D36B7297F09B3DD1127D,Netflix Windows App - Cadmium Windows Mobile,2021-08-31T17:01:17.132,2024-05-16T21:47:50.028,2021-08-31T17:01:17.132,2024-05-08T18:17:45.859,2021-08-31T17:01:17.132,2024-05-16T21:47:50.028,2021-08-31T17:01:17.132,2024-05-08T18:17:45.859,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-L3-SAMSUSM-I9195-4445-0J8F75FZPMTOC0URCXKN0STY22YGO3OGSI0WRKKVMTXT72P0PKHJKYP1S0G69LJEA,Google Nexus 7,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDOT-PH-L3R4GEK0786R8PG1JD1XEERAYAX9NX,Netflix iPhone Other iPhone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDSF-PH-L3R47ZUYEA7RXNAEK4A092LXEEHENY,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-L10P38E18R94W2QN5YM4D8DM02KMLV,Chrome PC (Cadmium),2024-04-05T20:01:00.363,2024-04-05T20:12:18.891,2024-04-05T20:01:15.927,2024-04-05T20:12:18.891,2024-04-05T20:01:00.363,2024-04-05T20:12:18.891,2024-04-05T20:01:15.927,2024-04-05T20:12:18.891,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-JKDC0TEJ2LHDYLT5MR7H3RX5YNTGVU,Netflix Chrome MAC (Cadmium) HTML 5,2023-02-18T20:41:05.632,2024-03-10T00:51:39.798,2023-02-18T21:56:03.454,2024-03-10T00:51:39.798,2023-02-18T20:41:05.632,2024-03-10T00:51:39.798,2023-02-18T21:56:03.454,2024-03-10T00:51:39.798,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-KXKEE7MCKTYH4EHUL3K8WT9MW03KAV,Netflix Chrome MAC (Cadmium) HTML 5,2024-02-24T00:18:01.968,2024-02-24T01:44:42.984,,,2024-02-24T00:18:01.968,2024-02-24T01:44:42.984,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-KTY5KZR5KGECU1VWVW4HJG837UP1CK,Chrome PC (Cadmium),2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,2024-01-10T22:14:02.464,2024-01-19T23:32:44.020,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-SAMSUSM-A526B-19970-CAF15674033B9C01F59971ABFC1C2B1F64FDCDE91B86D7CED3BD968CBF9A2465,DefaultWidevineAndroidPhone,2023-07-25T11:45:29.580,2023-12-18T17:32:56.108,2023-07-25T11:45:29.580,2023-12-18T17:32:56.108,2023-07-25T11:45:29.580,2023-12-18T17:32:56.108,2023-07-25T11:45:29.580,2023-12-18T17:32:56.108,1970-01-01T00:00:00.000
HICHAM,NFUWA-001-044BA4B01C1364161997336CC27C21AE5017FA188FFF113D6228A0A2AFC560F55FD7A2E8A04FC8E6E84C37311EE0CCF42508989814DD4D841FE1529F1562E6A8,Netflix Windows App - Cadmium Windows Mobile,2023-02-19T22:45:51.822,2023-11-18T22:24:20.771,2023-02-19T22:56:46.870,2023-11-18T22:24:20.771,2023-02-19T22:45:51.822,2023-11-18T22:24:20.771,2023-02-19T22:56:46.870,2023-11-18T22:24:20.771,1970-01-01T00:00:00.000
HICHAM,NFCDCH-AP-KAY38D96UYX5THV1C0XP8QHNXJHY6T,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-K5EGQQJNWXKLJGJL7P9Q5KPK8RPE8V,Netflix Chrome MAC (Cadmium) HTML 5,2023-05-06T20:56:39.086,2023-05-06T22:33:18.646,,,2023-05-06T20:56:39.086,2023-05-06T22:33:18.646,,,1970-01-01T00:00:00.000
HICHAM,SSTV-JZL1-0000000000000013640253,Samsung 2016 Jazz-L UHD TV Smart TV,2021-12-30T06:54:39.100,2023-04-24T21:20:29.353,2021-12-30T06:54:39.100,2023-04-24T21:20:29.353,2021-12-30T06:54:39.100,2023-04-24T21:20:29.353,2021-12-30T06:54:39.100,2023-04-24T21:20:29.353,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-K2YWCQNHGVC6FMXU5K39R7NAXC6JUH,Chrome PC (Cadmium),2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,2023-04-07T01:29:30.272,2023-04-08T20:15:07.580,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-JZ2CZTLAEC0UENHQ8AE4N6FX6YPPHP,Netflix Chrome MAC (Cadmium) HTML 5,2023-02-18T20:17:53.854,2023-02-18T20:17:53.854,,,2023-02-18T20:17:53.854,2023-02-18T20:17:53.854,,,1970-01-01T00:00:00.000
